Icon,Name,Quote,Quality,Type,Magazine Size,Ammo Capacity,Damage,Fire Rate,Reload Time,Shot Speed,Range,Force,Spread,Notes
SAA.png,SAA,Exhilarating Reload Time,B Quality Item.png,Semiautomatic,6,200,Direct: 8 Bounce: 12,0.12,0.6,25,Infinity.png,14,0,Fires bouncing bullets that aim towards enemies after bouncing.
Sawed-Off.png,Sawed-Off,No Butts About It,D Quality Item.png,Semiautomatic,6,150,4x4 (16),0.50,1.2,23,60,30,8,
Science Cannon.png,Science Cannon,Charged Particles,B Quality Item.png,Beam,500,500,26/s,0.10,N/A,90,500,35,0,Fires a large laser after a short charge-up which inflicts random status effects on enemies.
Screecher.png,Screecher,Cover Your Ears!,C Quality Item.png,Automatic,1000,1000,1.5,0.05,0.6,12,12,0,0,Rapidly fires piercing sound waves that have a small chance to stun.
Serious Cannon.png,Serious Cannon,Seriously MENTAL,A Quality Item.png,Charged,1,30,50,0.60,1.5,35,Infinity.png,60,6,Fires large bouncing cannonballs.
Shades's Revolver.png,Shades's Revolver,Someone Loses An Eye,C Quality Item.png,Semiautomatic,6,150,15,0.30,1.5,23,60,30,6,Increases coolness by 3.
Shell.png,Shell,Fires Shotguns,B Quality Item.png,Semiautomatic,6,150,Shotguns: 8 Bullets: 4,,,,,,,Fires three shotguns each of which fires three bullets upon hitting something.
Shellegun.png,Shellegun,Circle Of Death,B Quality Item.png,Semiautomatic,12 (pistol) 20 (beam),300,8,0.10,1.08,25,30,22,5,Reloading alternates between a pistol and a continuous beam. Increases curse by 1.
Shock Rifle.png,Shock Rifle,Zap,B Quality Item.png,Semiautomatic,15,250,8,0.20,1.5,140,Infinity.png,20,5,Fires a zap of electricity.
Shotbow.png,Shotbow,A Teleporter Accident,B Quality Item.png,Semiautomatic,3,80,6x6 (36),1.00,1.5,26,Infinity.png,25,5,Fires a shotgun blast of bolts.
Shotgrub.png,Shotgrub,No Worries!,C Quality Item.png,Semiautomatic,8,250,5x5 (25),0.40,1.5,23,60,30,0,Fires a spread of 5 bullets that leave small pools of poison goop.
Shotgun Full of Hate.png,Shotgun Full of Hate,Hate Is Power!,A Quality Item.png,Semiautomatic,8,150,6x4 (bullets) + 5 (skull) + 3 (nail),0.50,1.2,23,60,30,14,Shoots a shotgun burst of skulls nails regular bullets and poison bullets that leave pools of poison goop.
Shotgun Full of Love.png,Shotgun Full of Love,Kill With Kindness,A Quality Item.png,Semiautomatic,8,120,5x6 (30),0.50,1.2,23,60,30,14,Has a chance to Charm enemies.
Silencer.png,Silencer,300 Dead Count,C Quality Item.png,Semiautomatic,8,200,13,0.60,1.5,23,60,30,5,Fires zippers. Hitting an enemy with the swing of the weapon will stun the enemy.
Siren.png,Siren,Mershotgun,C Quality Item.png,Semiautomatic,6,200,6x3 (18),0.40,1.5,23,60,30,0,Fires a shotgun blast of bullets that leave pools of water. Negates fall damage and goop effects while equipped.
Skull Spitter.png,Skull Spitter,Hard Headed,C Quality Item.png,Semiautomatic,10,150,10,0.30,1.0,15,Infinity.png,10,0,Fires homing skulls.
Sling.png,Sling,Outrageous!,D Quality Item.png,Charged,1,80,25,0.10,0.9,23,Infinity.png,35,0,Fires rocks that bounce once. Deals additional damage to bosses.
Smiley's Revolver.png,Smiley's Revolver,All Smiles,B Quality Item.png,Semiautomatic,6,250,9,0.10,0.7,23,60,30,6,Decreases shop prices while held. Fire rate increased shortly after rolling.
Snakemaker.png,Snakemaker,SSSSSSSSSSS,A Quality Item.png,Semiautomatic,10,200,12,0.25,1.2,50,Infinity.png,10,0,Has a chance to transmogrify enemies into snakes.
Sniper Rifle.png,Sniper Rifle,Scope Creep,C Quality Item.png,Semiautomatic,10,80,26,1.00,1.5,200,Infinity.png,15,1,Fires bullets that can pierce through one enemy.
Snowballer.png,Snowballer,May Contain Rocks,D Quality Item.png,Automatic,20,400,3.5,0.15,1.2,28,35,10,10,Fires snowballs that have a chance to freeze enemies.
Staff of Firepower.png,Staff of Firepower,Missing Link,A Quality Item.png,Semiautomatic,6 (gun) 12 (staff),200,Gun: 7 Staff: 12,0.15,1.0,25,Infinity.png,12,7,Reloading alternates between a rapid fire pistol and a beam weapon that can set enemies on fire.
Starpew.png,Starpew,Reap And Sow,A Quality Item.png,Charged,Infinity.png,100,5,,,,,,,Fires water droplets. Can be charged to increase the number of droplets fired.
Sticky Crossbow.png,Sticky Crossbow,Reload Explode,C Quality Item.png,Semiautomatic,5,100,5 (arrow) + 15 (explosion),0.50,1.5,25,Infinity.png,8,0,Fires bolts that stick to the enemy and explode upon reloading.
Stinger.png,Stinger,Drone Warfare,B Quality Item.png,Semiautomatic,1,50,10 (impact) + 15 (explosion),1.00,2.0,20,60,10,1,Fires homing rockets that explode into bees.
Strafe Gun.png,Strafe Gun,Bleeding Edge Gameplay,1S Quality Item.png,Automatic,20,400,Impact: 1 Explosion: 8,,,,,,,Fires nails that explode upon releasing the trigger.
Super Meat Gun.png,Super Meat Gun,Very Fast,A Quality Item.png,Semiautomatic,12,300,6,0.10,0.5,25,Infinity.png,10,5,Fires piercing bouncing saw blades. Slightly increases movement speed.
T-Shirt Cannon.png,T-Shirt Cannon,Machine Gun Wash Only!,D Quality Item.png,Semiautomatic,6,250,8,0.35,0.9,25,Infinity.png,60,5,Fires t-shirts that have significant knockback.
Tangler.png,Tangler,Get Wrecktangled,C Quality Item.png,Semiautomatic,4,150,6x6 (36),0.60,1.5,23,60,30,10,Fires a shotgun blast of rectangular bullets that bounce off walls. Enemies hit will be folded into a rectangle.
Tear Jerker.png,Tear Jerker,Q_Q,C Quality Item.png,Semiautomatic,20,350,7,0.22,1.2,15,15,10,0,Fires tears that leave behind puddles of water.
The Emperor.png,The Emperor,Electric Terror,A Quality Item.png,Burst,30,300,7,0.30,1.2,20,50,10,7,Fires a burst of four bullets connected by electricity.
The Judge.png,The Judge,Hot Shot,B Quality Item.png,Semiautomatic,9,400,7.5,0.15,1.0,30,Infinity.png,9,7,The final shot of each clip has a chance to poison freeze or ignite enemies. (likely more effects possible)
The Kiln.png,The Kiln,Fires Pots,C Quality Item.png,Semiautomatic,8,200,Pots: 8 Crystals: 4,0.40,1.2,20,45,6,0,Fires pots that break into 3 bouncing crystals upon hitting something.
The Membrane.png,The Membrane,Green Or Yellow?,C Quality Item.png,Semiautomatic,6,120,Before split: 4x6 (24) After split: 3x12 (36),0.20,1.2,22,30,6,8,Fires a shotgun blast of bouncing green bullets that split into more bouncing green bullets.
The Scrambler.png,The Scrambler,Bullet Or The Gun?,C Quality Item.png,Semiautomatic,1,120,6 (egg) + 9x5 (seekers),0.10,1.2,20,32,0,6,Fires bullets that hatch into many homing bullets upon hitting an enemy or obstacle.
Thompson Sub-Machinegun.png,Thompson Sub-Machinegun,Myeah See!,C Quality Item.png,Automatic,30,350,5,0.10,0.78,23,Infinity.png,9,10,
Thunderclap.png,Thunderclap,Lightning In A Bullet,A Quality Item.png,Semiautomatic,15,300,8,0.10,1.7,20,Infinity.png,10,5,Fires balls of lightning.
Trashcannon.png,Trashcannon,Take It Out!,C Quality Item.png,Semiautomatic,1,50,20,0.20,1.2,20,Infinity.png,20,5,Fires a trash bag that explodes into poison projectiles that leave trails of poison goop.
Trick Gun.png,Trick Gun,Reload To Transform,C Quality Item.png,Semiautomatic,6,200,Pistol: 7 Shotgun: 2x8 (16),,1.2,,,,,Reloading transforms the gun between a pistol and a shotgun.
Trident.png,Trident,Under The Sea,A Quality Item.png,Semiautomatic,6,250,8,0.08,1.0,600,Infinity.png,4,0,Fires a long-range laser that pierces one enemy.
Triple Crossbow.png,Triple Crossbow,3 > 1,C Quality Item.png,Semiautomatic,3,100,Slow: 7 Triple: 7x3 (21),0.60,0.9,26,Infinity.png,25,5,Reloading alternates between triple bolts and single bolts that slow enemies.
Unfinished Gun.png,Unfinished Gun,Still Warm,D Quality Item.png,Semiautomatic,15,350,6,0.20,1.5,15,35,6,15,Shots pierce through enemies.
Unicorn Horn.png,Unicorn Horn,Fires Friendship,A Quality Item.png,Beam,500,500,30/s,0.10,N/A,30,30,45,0,Fires a rainbow beam that homes in on enemies. Increases curse by 1.
VertebraeK-47.png,VertebraeK-47,Nervous Yet?,B Quality Item.png,Automatic,30,250,4,0.10,1.5,18,Infinity.png,6,5,Bullets close to each other will form links between each other which hurts enemies on touch.
Void Core Assault Rifle.png,Void Core Assault Rifle,Rapid Fire,B Quality Item.png,Burst,30,300,6.5,0.35,1.2,23,20,15,3,Fires bursts of three lasers.
Void Marshal.png,Void Marshal,Acquired Under The Table,B Quality Item.png,Semiautomatic,15,250,9,0.10,1.2,35,35,10,7,
Void Shotgun.png,Void Shotgun,CQC,B Quality Item.png,Semiautomatic,4,120,5x6 (30),0.40,1.2,23,60,30,0,Fires 6 purple bullets with strong knockback.
Vorpal Gun.png,Vorpal Gun,.50 Criticaliber,B Quality Item.png,Semiautomatic,6,250,5,,,,,,,Has a chance to fire a critical shot which deals 20 times its damage.
Vulcan Cannon.png,Vulcan Cannon,Boundless Slaughter,1S Quality Item.png,Automatic,600,800,4,0.05,0.6,35,Infinity.png,15,12,
Winchester Rifle.png,Winchester Rifle,Guns And Deviltry.,D Quality Item.png,Semiautomatic,12,130,15,0.72,1.2,32,Infinity.png,9,5,
Winchester.png,Winchester,Better Than A Box Of Roses,C Quality Item.png,Semiautomatic,8,100,4x6 (24),0.60,1.7,23,60,30,7,
Wind Up Gun.png,Wind Up Gun,Charge It,D Quality Item.png,Automatic,20,600,5,0.13,1.5,30,35,10,8,The second half of each clip is slower and deals less damage.
Witch Pistol.png,Witch Pistol,Spells Your Doom,C Quality Item.png,Semiautomatic,6,350,6,0.15,1.2,27,Infinity.png,20,2,Fires bullets that have a chance to transmogrify enemies.
Yari Launcher.png,Yari Launcher,Hell. Yes.,1S Quality Item.png,Automatic,20,140,10 (impact) + 15 (explosion),0.04,1.5,10,90,30,45,Rapidly fires homing rockets.
Zilla Shotgun.png,Zilla Shotgun,Quadruple the fun!,A Quality Item.png,Charged,4,240,Uncharged: 4x8 (32) Charged: 6x7 (42),0.50,2.0,26,Infinity.png,26,20,Can be charged to fire the entire magazine at once which will cause it to fire piercing bouncing bullets.
Zorgun.png,Zorgun,Don't Push The Red Button,A Quality Item.png,Automatic,30,300,5.5,0.10,0.6,23,Infinity.png,9,5,Rapidly fires homing bullets. The final bullet in each clip fires a random explosive (grenade rocket or drill).
